"","UniqueID","Institution","City","State.Province","Country"
"1",22,"Beihang Univeristy","Beijing","","China"
"2",509,"North China Electric Power Univercity","Changping","Beijing","China"
"3",755,"Sichuan University","Chengdu","Sichuan","China"
"4",668,"Shandong University, Shandong, China","Jinan","Shandong","China"
"5",830,"Sun Yat-sen University","GuangZhou","GuangDong","China"
"6",39,"BeiJing University Of Post And Telecommunication","Beijing","Beijing","China"
"7",781,"South China Normal University, Guangzhou, P.R. China","Guangzhou","Guangdong","China"
"8",704,"Shanghai University of Finance and Economics","Shanghai","Shanghai","China"
"9",482,"Nankai University","Tianjin","","China"
"10",39,"BeiJing University Of Post And Telecommunication","BEIJING","BEIJING","China"
"11",695,"Shanghai University of Electric Power","Shanghai","","China"
"12",830,"Sun Yat-sen University","GuangZhou","GuangDong","China"
"13",309,"Huazhong Agricultural University","Wuhan","Hubei","China"
"14",803,"Southwest Jiaotong University","CHENGDU","SICHUAN","China"
"15",53,"BNU-HKBU United International College","Zhuhai","Guangdong","China"
"16",886,"Tianjin University of Commerce","Tianjin","China Mainland","China"
"17",292,"High School Affiliated to People's University (RDFZ)","Beijing","","China"
"18",309,"Huazhong Agricultural University","Wuhan","Hubei","China"
"19",309,"Huazhong Agricultural University","Wuhan","Hubei","China"
"20",309,"Huazhong Agricultural University","Wuhan","Hubei","China"
"21",309,"Huazhong Agricultural University","Wuhan","Hubei","China"
"22",309,"Huazhong Agricultural University","Wuhan","Hubei","China"
"23",309,"Huazhong Agricultural University","Wuhan","Hubei","China"
"24",309,"Huazhong Agricultural University","Wuhan","Hubei","China"
"25",309,"Huazhong Agricultural University","Wuhan","Hubei","China"
"26",309,"Huazhong Agricultural University","Wuhan","Hubei","China"
"27",818,"Southwestern University of Finance and Economics","Chengdu","Sichuan","China"
"28",311,"Huazhong Agriculture University","WuHan","Hubei","China"
"29",309,"Huazhong Agricultural University","Wuhan","Hubei","China"
"30",309,"Huazhong Agricultural University","Wuhan","Hubei","China"
"31",309,"Huazhong Agricultural University","Wuhan","Hubei","China"
"32",309,"Huazhong Agricultural University","Wuhan","Hubei","China"
"33",22,"Beihang Univeristy","Beijing","Beijing","China"
"34",723,"shenyang jianzhu university","shenyang","Liaoning","China"
"35",723,"shenyang jianzhu university","shenyang","liaoning","China"
"36",723,"shenyang jianzhu university","shenyang","liaoning","China"
"37",723,"shenyang jianzhu university","shenyang","liaoning","China"
"38",723,"shenyang jianzhu university","shenyang","liaoning","China"
"39",723,"shenyang jianzhu university","shenyang","liaoning","China"
"40",723,"shenyang jianzhu university","shenyang","liaoning","China"
"41",723,"shenyang jianzhu university","shenyang","liaoning","China"
"42",723,"shenyang jianzhu university","shenyang","liaoning","China"
"43",723,"shenyang jianzhu university","shenyang","liaoning","China"
"44",723,"shenyang jianzhu university","shenyang","liaoning","China"
"45",333,"Idaho State University","Pocatello","ID","USA"
"46",333,"Idaho State University","Pocatello","ID","USA"
"47",309,"Huazhong Agricultural University","Wuhan","Hubei","China"
"48",309,"Huazhong Agricultural University","Wuhan","Hubei","China"
"49",984,"University of Science and Technology of China","Hefei","Anhui","China"
"50",482,"Nankai University","Tianjin","Tianjin","China"
"51",482,"Nankai University","Tianjin Province","","China"
"52",532,"Northwestern Polytechnical University","Xi'an","Shaanxi","China"
"53",532,"Northwestern Polytechnical University","Xi'an","Shaanxi","China"
"54",532,"Northwestern Polytechnical University","Xi'an","Shaanxi","China"
"55",482,"Nankai University","Tianjin","","China"
"56",532,"Northwestern Polytechnical University","Xi'an","Shaanxi","China"
"57",532,"Northwestern Polytechnical University","Xi'an","Shaanxi","China"
"58",532,"Northwestern Polytechnical University","Xi'an","Shaanxi","China"
"59",532,"Northwestern Polytechnical University","Xi'an","Shaanxi","China"
"60",532,"Northwestern Polytechnical University","Xi'an","Shaanxi","China"
"61",532,"Northwestern Polytechnical University","Xi'an","Shaanxi","China"
"62",532,"Northwestern Polytechnical University","Xi'an","Shaanxi","China"
"63",532,"Northwestern Polytechnical University","Xi'an","Shaanxi","China"
"64",532,"Northwestern Polytechnical University","Xi'an","Shaanxi","China"
"65",532,"Northwestern Polytechnical University","Xi'an","Shaanxi","China"
"66",532,"Northwestern Polytechnical University","Xi'an","Shaanxi","China"
"67",532,"Northwestern Polytechnical University","Xi'an","Shaanxi","China"
"68",532,"Northwestern Polytechnical University","Xi'an","Shaanxi","China"
"69",532,"Northwestern Polytechnical University","Xi'an","Shaanxi","China"
"70",532,"Northwestern Polytechnical University","Xi'an","Shaanxi","China"
"71",532,"Northwestern Polytechnical University","Xi'an","Shaanxi","China"
"72",532,"Northwestern Polytechnical University","Xi'an","Shaanxi","China"
"73",532,"Northwestern Polytechnical University","Xi'an","Shaanxi","China"
"74",532,"Northwestern Polytechnical University","Xi'an","Shaanxi","China"
"75",532,"Northwestern Polytechnical University","Xi'an","Shaanxi","China"
"76",532,"Northwestern Polytechnical University","Xi'an","Shaanxi","China"
"77",532,"Northwestern Polytechnical University","Xi'an","Shaanxi","China"
"78",532,"Northwestern Polytechnical University","Xi'an","Shaanxi","China"
"79",309,"Huazhong Agricultural University","Wuhan","Hubei","China"
"80",309,"Huazhong Agricultural University","Wuhan","Hubei","China"
"81",311,"Huazhong Agriculture University","WuHan","Hubei","China"
"82",309,"Huazhong Agricultural University","Wuhan","Hubei","China"
"83",309,"Huazhong Agricultural University","Wuhan","Hubei","China"
"84",895,"Tongji University","shanghai","Shanghai","China"
"85",832,"SUN YAT-SEN UNIVERSITY","GUANG ZHOU","","China"
"86",744,"Shijiazhuang Tiedao University","Shijiazhuang","Hebei","China"
"87",744,"Shijiazhuang Tiedao University","Shijiazhuang","Hebei","China"
"88",895,"Tongji University","Shanghai","Shanghai","China"
"89",1040,"Wuhan University","Wuhan","Hubei","China"
"90",309,"Huazhong Agricultural University","Wuhan","Hubei","China"
"91",309,"Huazhong Agricultural University","Wuhan","Hubei","China"
"92",206,"Fudan University","Shanghai","","China"
"93",206,"Fudan University","Shanghai","","China"
"94",206,"Fudan University","Shanghai","","China"
"95",714,"Shanxi University","Taiyuan","Shanxi","China"
"96",831,"Sun Yat-Sen University","Guangzhou","Guangdong","China"
"97",705,"SHANGHAI UNIVERSITY OF FINANCE AND ECONOMICS","SHANGHAI","SHANGHAI","China"
"98",793,"South-Central University for Nationalities","WuHan","HuBei","China"
"99",116,"Chongqing University","Chongqing","Chongqing","China"
"100",818,"Southwestern University of Finance and Economics","Chengdu","Sichuan","China"
"101",831,"Sun Yat-Sen University","Guangzhou","Guangdong","China"
"102",724,"Shenyang jianzhu University","Shenyang","Liaoning","China"
"103",724,"Shenyang jianzhu University","Shenyang","Liaoning","China"
"104",724,"Shenyang jianzhu University","Shenyang","Liaoning","China"
"105",724,"Shenyang jianzhu University","Shenyang","Liaoning","China"
"106",724,"Shenyang jianzhu University","Shenyang","Liaoning","China"
"107",724,"Shenyang jianzhu University","Shenyang","Liaoning","China"
