"","Team.Number","City","State.Province","Country","Advisor","Problem","Ranking","Institution"
"11",36178,"Arden Hills","MN","USA","Nathan Gossett","B","Outstanding Winner","Bethel University"
"8",35532,"Changsha","Hunan","China","Xuanyun Qin","A","Outstanding Winner","Central South University"
"6",34317,"Chongqing","","China","Qu Gong","A","Outstanding Winner","Chongqing University"
"17",39173,"Colorado Springs","CO","USA","Andrea Bruder","B","Outstanding Winner","Colorado College"
"15",38727,"Arcata","CA","USA","Brad Finney","D","Outstanding Winner","Humboldt State University"
"13",37284,"Changsha","Hunan","China","Dan Wang","C","Outstanding Winner","National University of defense technology"
"7",34985,"Durham","NC","USA","Daniel J Teague","D","Outstanding Winner","NC School of Science and Mathematics"
"1",32150,"Xi'an","Shaanxi","China","Ligong Wang","A","Outstanding Winner","Northwestern Polytechnical University"
"5",33900,"shanghai","shanghai","China","Qifen Jiang","C","Outstanding Winner","Shanghai Jiao Tong University"
"2",32722,"Buffalo","NY","USA","John Ringland","A","Outstanding Winner","State University of New York, University at Buffalo"
"12",37075,"Beijing","","China","Zhenbo Wang","C","Outstanding Winner","Tsinghua University"
"18",40612,"Beijing","","China","Zhenbo Wang","B","Outstanding Winner","Tsinghua University"
"19",40764,"Adelaide","SA","Australia","Sanjeeva Balasuriya","A","Outstanding Winner","University of Adelaide"
"3",32879,"Boulder","CO","USA","Bengt Fornberg","B","Outstanding Winner","University of Colorado Boulder"
"14",38720,"Boulder","CO","USA","Bengt Fornberg","B","Outstanding Winner","University of Colorado Boulder"
"9",35778,"Xi'an","Shaanxi","China","Lei Chen","C","Outstanding Winner","Xi'an Jiaotong University"
"10",35780,"Xi'an","Shaanxi","China","Lei Chen","D","Outstanding Winner","Xi'an Jiaotong University"
"4",33572,"Xi'an","Shaanxi","China","Banghe Han","C","Outstanding Winner","XIDIAN UNIVERSITY"
"16",38996,"Hangzhou","","China","Zhiyi TAN","D","Outstanding Winner","Zhejiang University"
