"","Institution","count"
"1","BeiJing University Of Post And Telecommunication",323
"2","Harbin Institute of Technology",303
"3","Sun Yat-Sen University",225
"4","Central South University",202
"5","Dalian University of Technology",187
"6","Beihang Univeristy",175
"7","University of International Business and Economics",167
"8","Central University of Finance and Ecomomics",152
"9","Zhejiang University",144
"10","Shanghai Jiao Tong University",141
"11","Nankai University",126
"12","Peking University",126
"13","North China Electric Power University",124
"14","South China Normal University",121
"15","Wuhan University",118
"16","North China Electric Power University Baoding",103
"17","HARBIN ENGINEERING UNIVERSITY",101
"18","Dalian Maritime University",100
"19","Capital University of Economics and Business",91
"20","Tongji University",91
"21","Beijing Institute of Technology",90
"22","Chongqing University",85
"23","Jilin University",85
"24","China University of Petroleum",84
"25","Tsinghua University",84
"26","Beijing Normal University",81
"27","Shandong University",81
"28","Southwestern University of Finance and Economics",76
"29","Southeast University",73
"30","Shanghai University",70
"31","National University of Defense Technology",68
"32","Renmin University of China",66
"33","Shandong University of Science and Technology",64
"34","South China University of Technology",64
"35","Beijing Normal University, Zhuhai",61
"36","East China Normal University",60
"37","Shanghai University of Finance and Economics",60
"38","Shenyang Jianzhu University",59
"39","Northwest University",57
"40","Sichuan University",56
"41","China Agricultural University",54
"42","Nanjing University",54
"43","XIDIAN UNIVERSITY",51
"44","Anhui University of Finance and Economics",49
"45","Chongqing University of Posts and Telecommunications",48
"46","Minzu University of China",48
"47","University of Electronic Science and Technology of China",48
"48","University of Science and Technology of China",48
"49","Southwest Jiaotong University",46
"50","Henan Polytechnic University",45
"51","China University of Petroleum, Beijing",44
"52","Southwest University",41
"53","Sun Yat-sen University",41
"54","Fudan University",40
"55","Northwestern Polytechnical University",40
"56","Tianjin University",40
"57","Hunan University",39
"58","Dalian Nationalities University",38
"59","Huazhong University of Science and Technology",38
"60","Shandong University of Technology",38
"61","Shandong University(Weihai)",38
"62","Xiamen University",36
"63","Xiangtan University",36
"64","Zhongnan University of Economics and Law",35
"65","Air Force Engineering University",34
"66","Beijing Jiaotong University",34
"67","Xi'an Jiaotong University",34
"68","Xi'an University of Architecture and Technology",34
"69","Henan Normal University",32
"70","National University of defense technology",32
"71","Tianjin Polytechnic University",32
"72","Nanjing University of Science and Technology",31
"73","Northeast Agricultural University",31
"74","Zhengzhou University",31
"75","Chongqing Jiaotong University",30
"76","Nanchang University",30
"77","Inner Mongolia University",29
"78","Yunnan University",28
"79","Fuzhou University",27
"80","Wuhan University of Technology",27
"81","Guangdong University of Technology",25
"82","Huazhong Agricultural University",25
"83","Simpson College",25
"84","Zhejiang Gongshang University",25
"85","Lanzhou University",24
"86","Ocean University of China",24
"87","Xi'an Jiaotong-Liverpool University",24
"88","Beijing Forestry University",23
"89","East China University of Science and Technology",23
"90","Guangxi University",23
"91","Hainan University",23
"92","Shenzhen Polytechnic",23
"93","Sichuan Agricultural University",23
"94","North University of China",22
"95","University of Michigan-Shanghai Jiao Tong University Joint Institute",22
