"","Team.Number","City","State.Province","Country","Advisor","Problem","Ranking","Institution"
"1",32815,"Indianapolis","IN","USA","Zhong Jin","B","Meritorious","IUPUI"
"2",32878,"Boulder","CO","USA","Anne M Dougherty","A","Meritorious","University of Colorado Boulder"
"3",34983,"Durham","NC","USA","Daniel J Teague","B","Meritorious","NC School of Science and Mathematics"
"4",36351,"Cupertino","CA","USA","Mark C St John","A","Meritorious","Cupertino High School"
"5",36574,"Livonia","MI","USA","Susan A Toma","D","Meritorious","Madonna University"
"6",36806,"New York","NY","USA","Ivan Corwin","A","Meritorious","Columbia University"
"7",36807,"Los Angeles","CA","USA","Jing Qin","B","Meritorious","University of California, Los Angeles"
"8",37665,"Conway","AR","USA","Mark H Goadrich","B","Meritorious","Hendrix College"
"9",37676,"Los Angeles","CA","USA","Jing Qin","B","Meritorious","University of California, Los Angeles"
"10",37718,"Lancaster","PA","USA","Christina M Weaver","A","Meritorious","Franklin & Marshall College"
"11",38004,"Boulder","CO","USA","Anne M Dougherty","B","Meritorious","University of Colorado Boulder"
"12",38008,"Schenectady","NY","USA","Jue Wang","A","Meritorious","Union College"
"13",38379,"New York","NY","USA","Laihan Luo","A","Meritorious","New York Institute of Technology"
"14",38380,"Albuquerque","NM","USA","James H Degnan","A","Meritorious","University of New Mexico"
"15",38729,"Arcata","CA","USA","Brad Finney","C","Meritorious","Humboldt State University"
"16",39153,"Madison","WI","USA","Saverio E Spagnolie","D","Meritorious","University of Wisconsin-Madison"
"17",39171,"San Antonio","TX","USA","Hoa Nguyen","B","Meritorious","Trinity"
"18",40056,"Plantation","FL","USA","Radleigh G Santos","C","Meritorious","American Heritage School Plantation"
"19",40685,"Buffalo","NY","USA","Yorck I SommerhÃ¤user","B","Meritorious","University at Buffalo (SUNY)"
"20",40730,"Hamilton","NY","USA","Dan Schult","A","Meritorious","Colgate University"
"21",40740,"Claremont","CA","USA","Susan E Martonosi","D","Meritorious","Harvey Mudd College"
"22",40741,"Claremont","CA","USA","Susan E Martonosi","C","Meritorious","Harvey Mudd College"
"23",40742,"Claremont","CA","USA","Susan E Martonosi","A","Meritorious","Harvey Mudd College"
"24",40750,"Seattle","WA","USA","Wai Lau","A","Meritorious","Seattle Pacific University"
"25",40760,"San Luis Obispo","CA","USA","Charles D Camp","B","Meritorious","California Polytechnic State University"
"26",40784,"Los Angeles","CA","USA","Jing Qin","B","Meritorious","University of California, Los Angeles"
"27",40860,"Seattle","WA","USA","James Allen Morrow","B","Meritorious","University of Washington"
"28",41138,"Emmitsburg","MD","USA","Brian Heinold","A","Meritorious","Mount St. Mary's University"
"29",41159,"Blacksburg","VA","USA","Lizette Zietsman","B","Meritorious","Virginia Tech"
"30",41161,"Blacksburg","VA","USA","Henning S. Mortveit","A","Meritorious","Virginia Tech"
"31",41170,"Blacksburg","VA","USA","Mark Embree","A","Meritorious","Virginia Tech"
"32",41202,"Indianola","IA","USA","Murphy Waggoner","D","Meritorious","Simpson College"
"33",41205,"Indianola","IA","USA","Murphy Waggoner","D","Meritorious","Simpson College"
"34",41208,"Indianola","IA","USA","Murphy Waggoner","A","Meritorious","Simpson College"
"35",41227,"Durham","NC","USA","Bill Pardon","A","Meritorious","Duke University"
"36",41229,"Durham","NC","USA","David Kraines","A","Meritorious","Duke University"
"37",41248,"Needham","MA","USA","Aaron Hoffman","A","Meritorious","Olin College"
"38",41268,"Wooster","OH","USA","Robert D Wooster","B","Meritorious","College of Wooster"
"39",41272,"Youngstown","OH","USA","George T Yates","A","Meritorious","Youngstown State University"
"40",41274,"Youngstown","OH","USA","Alicia Prieto-Langarica","A","Meritorious","Youngstown State University"
"41",41280,"New York","NY","USA","Stephen Keeley","A","Meritorious","New York University"
"42",41718,"Lexington","KY","USA","Russell Lee Carden","B","Meritorious","University of Kentucky"
"43",41737,"Helena","MT","USA","Kelly S. Cline","B","Meritorious","Carroll College"
"44",41739,"Helena","MT","USA","Kelly S. Cline","D","Meritorious","Carroll College"
"45",41743,"Helena","MT","USA","Kelly S. Cline","B","Meritorious","Carroll College"
"46",41747,"Austin","TX","USA","Roger T Bonnecaze","B","Meritorious","University of Texas at Austin"
"47",41768,"Indianola","IA","USA","Murphy Waggoner","D","Meritorious","Simpson College"
"48",41773,"Minneapolis","MN","USA","Alexandra Ortan","A","Meritorious","University of Minnesota"
"49",41898,"Davidson","NC","USA","Laurie J Heyer","B","Meritorious","Davidson College"
"50",41900,"Davidson","NC","USA","Laurie J Heyer","B","Meritorious","Davidson College"
"51",41927,"Ithaca","NY","USA","Alexander Vladimirsky","B","Meritorious","Cornell University"
"52",41932,"Ithaca","NY","USA","Alexander Vladimirsky","A","Meritorious","Cornell University"
"53",41964,"Troy","NY","USA","Peter Roland Kramer","A","Meritorious","Rensselaer Polytechnic Institute"
"54",42013,"Helena","MT","USA","Theodore J Wendt","A","Meritorious","Carroll College"
"55",42014,"Helena","MT","USA","Theodore J Wendt","A","Meritorious","Carroll College"
"56",42038,"Chicago","IL","USA","Cong Liu","B","Meritorious","Illinois Institute of Technology"
"57",42041,"La Crosse","WI","USA","Song Chen","D","Meritorious","University of Wisconsin - La Crosse"
"58",42047,"Rock Hill","SC","USA","Zachary J Abernathy","A","Meritorious","Winthrop University"
"59",42051,"Minneapolis","MN","USA","Vincent Quenneville-Belair","C","Meritorious","University of Minnesota"
